episode,reward,steps
0,15,8195
1,12,8195
2,12,8195
3,16,8195
4,14,8195
5,12,8195
6,14,8195
7,13,8195
8,14,8195
9,13,8195
10,12,8195
11,10,8195
12,13,8195
13,11,8195
14,11,8195
15,15,8195
16,14,8195
17,14,8195
18,12,8195
19,14,8195
20,15,8195
21,15,8195
22,15,8195
23,12,8195
24,11,8195
25,12,8195
26,15,8195
27,15,8195
28,14,8195
29,15,8195
30,10,8195
31,12,8195
32,16,8195
33,14,8195
34,13,8195
35,13,8195
36,15,8195
37,12,8195
38,12,8195
39,12,8195
40,11,8195
41,14,8195
42,13,8195
43,15,8195
44,12,8195
45,15,8195
46,14,8195
47,13,8195
48,15,8195
49,9,8195
50,11,8195
51,12,8195
52,9,8195
53,11,8195
54,15,8195
55,13,8195
56,14,8195
57,13,8195
58,14,8195
59,14,8195
60,14,8195
61,14,8195
62,11,8195
63,13,8195
64,12,8195
65,13,8195
66,11,8195
67,14,8195
68,13,8195
69,13,8195
70,12,8195
71,12,8195
72,11,8195
73,15,8195
74,9,8195
75,14,8195
76,12,8195
77,11,8195
78,12,8195
79,11,8195
80,14,8195
81,12,8195
82,13,8195
83,14,8195
84,10,8195
85,14,8195
86,13,8195
87,13,8195
88,15,8195
89,12,8195
90,13,8195
91,14,8195
92,11,8195
93,14,8195
94,14,8195
95,12,8195
96,13,8195
97,12,8195
98,12,8195
99,13,8195
