episode,reward,steps
0,12,8195
1,13,8195
2,13,8195
3,11,8195
4,13,8195
5,11,8195
6,11,8195
7,13,8195
8,11,8195
9,12,8195
10,9,8195
11,13,8195
12,12,8195
13,11,8195
14,11,8195
15,12,8195
16,14,8195
17,13,8195
18,14,8195
19,10,8195
20,15,8195
21,12,8195
22,14,8195
23,12,8195
24,15,8195
25,12,8195
26,10,8195
27,16,8195
28,13,8195
29,13,8195
30,10,8195
31,10,8195
32,12,8195
33,11,8195
34,12,8195
35,11,8195
36,7,8195
37,13,8195
38,12,8195
39,16,8195
40,12,8195
41,10,8195
42,11,8195
43,16,8195
44,9,8195
45,11,8195
46,11,8195
47,14,8195
48,13,8195
49,11,8195
50,12,8195
51,13,8195
52,11,8195
53,13,8195
54,12,8195
55,13,8195
56,8,8195
57,12,8195
58,12,8195
59,14,8195
60,12,8195
61,11,8195
62,10,8195
63,12,8195
64,11,8195
65,8,8195
66,15,8195
67,14,8195
68,12,8195
69,11,8195
70,12,8195
71,11,8195
72,13,8195
73,13,8195
74,13,8195
75,14,8195
76,13,8195
77,11,8195
78,12,8195
79,12,8195
80,11,8195
81,13,8195
82,12,8195
83,14,8195
84,11,8195
85,12,8195
86,11,8195
87,11,8195
88,14,8195
89,12,8195
90,13,8195
91,12,8195
92,12,8195
93,13,8195
94,12,8195
95,10,8195
96,13,8195
97,13,8195
98,13,8195
99,11,8195
