episode,reward,steps
0,14,8195
1,12,8195
2,11,8195
3,15,8195
4,10,8195
5,14,8195
6,9,8195
7,12,8195
8,11,8195
9,12,8195
10,11,8195
11,12,8195
12,12,8195
13,12,8195
14,14,8195
15,11,8195
16,14,8195
17,14,8195
18,9,8195
19,9,8195
20,11,8195
21,11,8195
22,15,8195
23,14,8195
24,12,8195
25,10,8195
26,12,8195
27,14,8195
28,13,8195
29,10,8195
30,14,8195
31,13,8195
32,11,8195
33,11,8195
34,14,8195
35,14,8195
36,11,8195
37,14,8195
38,10,8195
39,10,8195
40,10,8195
41,13,8195
42,11,8195
43,11,8195
44,13,8195
45,11,8195
46,11,8195
47,10,8195
48,10,8195
49,13,8195
50,10,8195
51,12,8195
52,8,8195
53,13,8195
54,11,8195
55,11,8195
56,12,8195
57,12,8195
58,12,8195
59,14,8195
60,10,8195
61,14,8195
62,14,8195
63,12,8195
64,11,8195
65,11,8195
66,14,8195
67,13,8195
68,13,8195
69,12,8195
70,12,8195
71,10,8195
72,12,8195
73,9,8195
74,13,8195
75,14,8195
76,11,8195
77,12,8195
78,14,8195
79,11,8195
80,12,8195
81,12,8195
82,12,8195
83,11,8195
84,14,8195
85,11,8195
86,10,8195
87,13,8195
88,11,8195
89,9,8195
90,13,8195
91,12,8195
92,11,8195
93,14,8195
94,12,8195
95,15,8195
96,15,8195
97,12,8195
98,11,8195
99,13,8195
