episode,reward,steps
0,13,8195
1,12,8195
2,13,8195
3,11,8195
4,13,8195
5,12,8195
6,12,8195
7,11,8195
8,12,8195
9,12,8195
10,13,8195
11,13,8195
12,12,8195
13,13,8195
14,14,8195
15,15,8195
16,10,8195
17,13,8195
18,12,8195
19,14,8195
20,9,8195
21,12,8195
22,12,8195
23,12,8195
24,15,8195
25,12,8195
26,13,8195
27,11,8195
28,9,8195
29,13,8195
30,11,8195
31,12,8195
32,11,8195
33,14,8195
34,12,8195
35,14,8195
36,13,8195
37,11,8195
38,14,8195
39,11,8195
40,14,8195
41,15,8195
42,12,8195
43,11,8195
44,13,8195
45,13,8195
46,17,8195
47,14,8195
48,14,8195
49,11,8195
50,15,8195
51,12,8195
52,13,8195
53,12,8195
54,10,8195
55,9,8195
56,10,8195
57,10,8195
58,10,8195
59,14,8195
60,13,8195
61,14,8195
62,14,8195
63,11,8195
64,15,8195
65,12,8195
66,13,8195
67,13,8195
68,12,8195
69,14,8195
70,15,8195
71,12,8195
72,13,8195
73,14,8195
74,12,8195
75,11,8195
76,10,8195
77,13,8195
78,13,8195
79,13,8195
80,14,8195
81,13,8195
82,13,8195
83,13,8195
84,13,8195
85,13,8195
86,13,8195
87,12,8195
88,15,8195
89,12,8195
90,13,8195
91,14,8195
92,14,8195
93,13,8195
94,13,8195
95,14,8195
96,13,8195
97,14,8195
98,10,8195
99,12,8195
