episode,reward,steps
0,1,8195
1,4,8195
2,3,8195
3,5,8195
4,3,8195
5,3,8195
6,2,8195
7,5,8195
8,2,8195
9,4,8195
10,3,8195
11,3,8195
12,4,8195
13,3,8195
14,2,8195
15,6,8195
16,3,8195
17,3,8195
18,5,8195
19,3,8195
20,2,8195
21,4,8195
22,3,8195
23,4,8195
24,4,8195
25,2,8195
26,4,8195
27,3,8195
28,2,8195
29,4,8195
30,5,8195
31,3,8195
32,4,8195
33,4,8195
34,2,8195
35,4,8195
36,2,8195
37,3,8195
38,2,8195
39,4,8195
40,2,8195
41,3,8195
42,2,8195
43,5,8195
44,1,8195
45,3,8195
46,3,8195
47,4,8195
48,3,8195
49,3,8195
50,3,8195
51,0,8195
52,2,8195
53,3,8195
54,3,8195
55,2,8195
56,5,8195
57,3,8195
58,2,8195
59,3,8195
60,3,8195
61,3,8195
62,3,8195
63,3,8195
64,2,8195
65,3,8195
66,3,8195
67,3,8195
68,3,8195
69,3,8195
70,3,8195
71,2,8195
72,5,8195
73,3,8195
74,4,8195
75,3,8195
76,3,8195
77,0,8195
78,3,8195
79,3,8195
80,2,8195
81,3,8195
82,3,8195
83,3,8195
84,3,8195
85,3,8195
86,3,8195
87,4,8195
88,4,8195
89,3,8195
90,3,8195
91,3,8195
92,3,8195
93,3,8195
94,4,8195
95,3,8195
96,4,8195
97,3,8195
98,2,8195
99,3,8195
