episode,reward,steps
0,0,8195
1,1,8195
2,1,8195
3,1,8195
4,1,8195
5,1,8195
6,2,8195
7,1,8195
8,2,8195
9,0,8195
10,1,8195
11,1,8195
12,1,8195
13,1,8195
14,1,8195
15,1,8195
16,0,8195
17,2,8195
18,2,8195
19,2,8195
20,1,8195
21,0,8195
22,0,8195
23,0,8195
24,1,8195
25,0,8195
26,0,8195
27,1,8195
28,0,8195
29,1,8195
30,0,8195
31,0,8195
32,1,8195
33,0,8195
34,1,8195
35,2,8195
36,0,8195
37,0,8195
38,1,8195
39,0,8195
40,0,8195
41,0,8195
42,1,8195
43,0,8195
44,0,8195
45,1,8195
46,0,8195
47,0,8195
48,0,8195
49,1,8195
50,1,8195
51,1,8195
52,0,8195
53,1,8195
54,0,8195
55,1,8195
56,0,8195
57,1,8195
58,1,8195
59,0,8195
60,1,8195
61,1,8195
62,1,8195
63,1,8195
64,0,8195
65,0,8195
66,1,8195
67,0,8195
68,0,8195
69,0,8195
70,1,8195
71,1,8195
72,0,8195
73,0,8195
74,1,8195
75,0,8195
76,0,8195
77,0,8195
78,1,8195
79,0,8195
80,0,8195
81,2,8195
82,1,8195
83,1,8195
84,0,8195
85,0,8195
86,1,8195
87,0,8195
88,0,8195
89,1,8195
90,0,8195
91,0,8195
92,0,8195
93,0,8195
94,1,8195
95,1,8195
96,0,8195
97,0,8195
98,1,8195
99,0,8195
