episode,reward,steps
0,17,8195
1,14,8195
2,14,8195
3,16,8195
4,16,8195
5,16,8195
6,19,8195
7,16,8195
8,15,8195
9,13,8195
10,15,8195
11,13,8195
12,15,8195
13,16,8195
14,14,8195
15,11,8195
16,14,8195
17,15,8195
18,17,8195
19,17,8195
20,18,8195
21,15,8195
22,16,8195
23,19,8195
24,18,8195
25,16,8195
26,16,8195
27,16,8195
28,13,8195
29,14,8195
30,14,8195
31,15,8195
32,15,8195
33,18,8195
34,15,8195
35,11,8195
36,14,8195
37,14,8195
38,17,8195
39,13,8195
40,16,8195
41,15,8195
42,14,8195
43,16,8195
44,16,8195
45,14,8195
46,16,8195
47,14,8195
48,18,8195
49,13,8195
50,17,8195
51,13,8195
52,17,8195
53,12,8195
54,15,8195
55,18,8195
56,16,8195
57,13,8195
58,14,8195
59,16,8195
60,13,8195
61,18,8195
62,16,8195
63,13,8195
64,17,8195
65,12,8195
66,16,8195
67,15,8195
68,17,8195
69,17,8195
70,13,8195
71,16,8195
72,15,8195
73,16,8195
74,17,8195
75,15,8195
76,18,8195
77,15,8195
78,16,8195
79,17,8195
80,16,8195
81,17,8195
82,16,8195
83,15,8195
84,15,8195
85,14,8195
86,15,8195
87,18,8195
88,16,8195
89,18,8195
90,21,8195
91,14,8195
92,14,8195
93,16,8195
94,16,8195
95,17,8195
96,15,8195
97,14,8195
98,19,8195
99,17,8195
