episode,reward,steps
0,10,8195
1,12,8195
2,16,8195
3,17,8195
4,14,8195
5,10,8195
6,15,8195
7,14,8195
8,15,8195
9,13,8195
10,13,8195
11,11,8195
12,12,8195
13,12,8195
14,14,8195
15,16,8195
16,13,8195
17,15,8195
18,15,8195
19,15,8195
20,12,8195
21,14,8195
22,15,8195
23,14,8195
24,13,8195
25,12,8195
26,14,8195
27,15,8195
28,14,8195
29,10,8195
30,16,8195
31,13,8195
32,14,8195
33,14,8195
34,16,8195
35,15,8195
36,12,8195
37,11,8195
38,16,8195
39,12,8195
40,15,8195
41,14,8195
42,12,8195
43,14,8195
44,16,8195
45,14,8195
46,14,8195
47,12,8195
48,15,8195
49,12,8195
50,16,8195
51,11,8195
52,15,8195
53,14,8195
54,15,8195
55,13,8195
56,13,8195
57,16,8195
58,12,8195
59,14,8195
60,14,8195
61,12,8195
62,12,8195
63,15,8195
64,11,8195
65,11,8195
66,15,8195
67,19,8195
68,14,8195
69,15,8195
70,16,8195
71,16,8195
72,15,8195
73,16,8195
74,14,8195
75,15,8195
76,11,8195
77,10,8195
78,14,8195
79,13,8195
80,14,8195
81,13,8195
82,13,8195
83,16,8195
84,15,8195
85,17,8195
86,13,8195
87,15,8195
88,13,8195
89,15,8195
90,15,8195
91,15,8195
92,14,8195
93,15,8195
94,14,8195
95,16,8195
96,16,8195
97,12,8195
98,13,8195
99,16,8195
