episode,reward,steps
0,13,8195
1,14,8195
2,11,8195
3,14,8195
4,14,8195
5,12,8195
6,14,8195
7,14,8195
8,12,8195
9,12,8195
10,14,8195
11,13,8195
12,12,8195
13,9,8195
14,16,8195
15,14,8195
16,15,8195
17,13,8195
18,17,8195
19,14,8195
20,14,8195
21,14,8195
22,12,8195
23,15,8195
24,14,8195
25,13,8195
26,14,8195
27,14,8195
28,14,8195
29,12,8195
30,14,8195
31,17,8195
32,12,8195
33,12,8195
34,16,8195
35,15,8195
36,13,8195
37,11,8195
38,11,8195
39,12,8195
40,13,8195
41,16,8195
42,13,8195
43,17,8195
44,14,8195
45,14,8195
46,15,8195
47,13,8195
48,13,8195
49,13,8195
50,15,8195
51,13,8195
52,12,8195
53,14,8195
54,15,8195
55,12,8195
56,13,8195
57,13,8195
58,11,8195
59,11,8195
60,13,8195
61,15,8195
62,12,8195
63,14,8195
64,14,8195
65,13,8195
66,14,8195
67,13,8195
68,14,8195
69,14,8195
70,12,8195
71,14,8195
72,14,8195
73,13,8195
74,12,8195
75,12,8195
76,13,8195
77,12,8195
78,15,8195
79,15,8195
80,18,8195
81,12,8195
82,13,8195
83,14,8195
84,10,8195
85,14,8195
86,13,8195
87,13,8195
88,13,8195
89,11,8195
90,12,8195
91,15,8195
92,11,8195
93,12,8195
94,16,8195
95,15,8195
96,10,8195
97,13,8195
98,11,8195
99,13,8195
