episode,reward,steps
0,4,8195
1,3,8195
2,2,8195
3,2,8195
4,0,8195
5,2,8195
6,1,8195
7,4,8195
8,2,8195
9,4,8195
10,3,8195
11,2,8195
12,1,8195
13,3,8195
14,3,8195
15,4,8195
16,2,8195
17,3,8195
18,2,8195
19,2,8195
20,2,8195
21,1,8195
22,2,8195
23,2,8195
24,2,8195
25,2,8195
26,3,8195
27,3,8195
28,4,8195
29,3,8195
30,6,8195
31,5,8195
32,1,8195
33,2,8195
34,3,8195
35,3,8195
36,3,8195
37,2,8195
38,3,8195
39,3,8195
40,2,8195
41,3,8195
42,3,8195
43,3,8195
44,1,8195
45,3,8195
46,5,8195
47,1,8195
48,4,8195
49,5,8195
50,0,8195
51,2,8195
52,3,8195
53,6,8195
54,3,8195
55,1,8195
56,1,8195
57,3,8195
58,2,8195
59,3,8195
60,2,8195
61,1,8195
62,4,8195
63,4,8195
64,3,8195
65,3,8195
66,3,8195
67,5,8195
68,2,8195
69,3,8195
70,2,8195
71,2,8195
72,5,8195
73,5,8195
74,5,8195
75,5,8195
76,3,8195
77,2,8195
78,1,8195
79,4,8195
80,2,8195
81,3,8195
82,1,8195
83,5,8195
84,3,8195
85,2,8195
86,0,8195
87,2,8195
88,2,8195
89,3,8195
90,2,8195
91,3,8195
92,4,8195
93,3,8195
94,4,8195
95,3,8195
96,2,8195
97,2,8195
98,1,8195
99,2,8195
