episode,reward,steps
0,1,8195
1,1,8195
2,1,8195
3,1,8195
4,0,8195
5,0,8195
6,0,8195
7,2,8195
8,0,8195
9,2,8195
10,1,8195
11,2,8195
12,2,8195
13,2,8195
14,1,8195
15,1,8195
16,0,8195
17,1,8195
18,1,8195
19,2,8195
20,2,8195
21,2,8195
22,2,8195
23,1,8195
24,0,8195
25,2,8195
26,1,8195
27,0,8195
28,0,8195
29,1,8195
30,1,8195
31,2,8195
32,2,8195
33,0,8195
34,1,8195
35,2,8195
36,2,8195
37,1,8195
38,1,8195
39,1,8195
40,2,8195
41,2,8195
42,2,8195
43,0,8195
44,1,8195
45,1,8195
46,0,8195
47,0,8195
48,0,8195
49,0,8195
50,1,8195
51,3,8195
52,1,8195
53,2,8195
54,2,8195
55,2,8195
56,0,8195
57,1,8195
58,1,8195
59,3,8195
60,1,8195
61,1,8195
62,2,8195
63,2,8195
64,3,8195
65,1,8195
66,1,8195
67,1,8195
68,1,8195
69,0,8195
70,2,8195
71,1,8195
72,2,8195
73,1,8195
74,1,8195
75,1,8195
76,2,8195
77,2,8195
78,1,8195
79,1,8195
80,2,8195
81,2,8195
82,3,8195
83,1,8195
84,0,8195
85,1,8195
86,1,8195
87,3,8195
88,0,8195
89,2,8195
90,2,8195
91,1,8195
92,1,8195
93,1,8195
94,1,8195
95,0,8195
96,1,8195
97,1,8195
98,2,8195
99,0,8195
